,역사명,역사도로명주소,역위도,역경도,행정동
0,동대문역사문화공원역,서울특별시 중구 을지로 지하 279 (을지로7가),37.56505303,127.0072433,서울특별시 중구 광희동
1,신당역,서울특별시 중구 퇴계로 지하 431-1 (신당동),37.56582912,127.0181023,서울특별시 중구 황학동
2,상왕십리역,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),37.56417104,127.0293524,서울특별시 성동구 왕십리2동
3,왕십리역,서울특별시 성동구 왕십리로 지하300(행당동),37.56145944,127.0366401,서울특별시 성동구 행당1동
4,한양대역,서울특별시 성동구 왕십리로 206 (행당동),37.55522179,127.0434917,서울특별시 성동구 사근동
5,뚝섬역,서울특별시 성동구 아차산로 18 (성수동1가),37.54712239,127.0473648,서울특별시 성동구 성수1가2동
6,성수역,서울특별시 성동구 아차산로 100 (성수동2가),37.5444338,127.0559893,서울특별시 성동구 성수2가3동
7,건대입구역,서울특별시 광진구 아차산로 243 (화양동),37.54060889,127.0699628,서울특별시 광진구 자양4동
8,구의역,서울특별시 광진구 아차산로 384-1 (구의동),37.53691864,127.0857297,서울특별시 광진구 자양2동
9,강변역,서울특별시 광진구 강변역로 53 (구의동),37.53487706,127.0946944,서울특별시 광진구 구의3동
10,잠실나루역,서울특별시 송파구 오금로 20 (신천동),37.52054808,127.1036977,서울특별시 송파구 잠실6동
11,잠실역,서울특별시 송파구 올림픽로 지하 265 (잠실동),37.51381708,127.1023424,서울특별시 송파구 잠실6동
12,서울역,서울특별시 중구 세종대로 지하 2 (남대문로 5가),37.55467715,126.9719143,서울특별시 중구 회현동
13,시청역,서울특별시 중구 세종대로 지하 101 (정동),37.56466758,126.9764189,서울특별시 중구 소공동
14,종각역,서울특별시 종로구 종로 지하 55 (종로1가),37.57020349,126.9829483,서울특별시 종로구 종로1.2.3.4가동
15,종로3가역,서울특별시 종로구 종로 지하 129 (종로3가),37.57139366,126.9913448,서울특별시 종로구 종로1.2.3.4가동
16,종로5가역,서울특별시 종로구 종로 지하 216  (종로5가),37.57100685,127.001799,서울특별시 종로구 종로5·6가동
17,신촌역,서울 서대문구 신촌로 90,37.557555,126.9395953,서울시 서대문구 신촌동
18,가좌역,서울시 서대문구 수색로 27(남가좌동),37.568611,126.914841,서울특별시 서대문구 남가좌1동
19,효창공원앞역,서울시 용산구 용문동 5-133,37.5394155,126.961355,서울특별시 용산구 용문동
20,공덕역,서울시 마포구 공덕동 마포대로 100,37.54342785,126.9517967,서울특별시 마포구 공덕동
21,서강대역,서울시 마포구 서강로 지하118,37.552132,126.935389,서울특별시 마포구 대흥동
22,홍대입구역,서울시 마포구 양화로 지하 188,37.55754762,126.925258,서울특별시 마포구 서교동
23,디지털미디어시티역,서울시 은평구 수색로 193(수색동 37-2),37.57729713,126.9000528,서울특별시 은평구 수색동
24,수색역,서울시 은평구 수색로 261-1,37.580855,126.895681,서울특별시 은평구 수색동
25,청량리역,서울시 동대문구 왕산로 214,37.58034355,127.0461464,서울특별시 동대문구 전농1동
26,회기역,서울시 동대문구 회기로196(휘경동 317-101),37.589802,127.057936,서울특별시 동대문구 휘경1동
27,외대앞역,서울시 동대문구 휘경로 27(이문동 360-5),37.596157,127.063572,서울특별시 동대문구 이문1동
28,신이문역,서울시 동대문구 한천로 472(이문로 7),37.601829,127.067347,서울특별시 동대문구 이문2동
29,석계역,서울시 노원구 화랑로 314(월계동 36-4),37.61509462,127.0655776,서울특별시 노원구 월계1동
30,광운대역,서울시 노원구 석계로 98-2(광운대역),37.623635,127.061975,서울특별시 노원구 월계1동
31,월계역,서울시 노원구 월계로 53길 40(월계2동 261),37.633114,127.058835,서울특별시 노원구 월계2동
32,녹천역,서울시 도봉구 덕릉로 376(창동),37.644599,127.051406,서울특별시 도봉구 창1동
33,창동역,서울시 도봉구 마들로 11길 77(창1동 135-86),37.65315166,127.0476758,서울특별시 도봉구 창5동
34,방학역,서울시 도봉구 도봉로 150다길 3,37.667471,127.044295,서울특별시 도봉구 방학1동
35,도봉역,서울시 도봉구 도봉로 170길 2,37.679441,127.045521,서울특별시 도봉구 도봉2동
36,도봉산역,서울시 도봉구 도봉로 964-33,37.68941744,127.0462238,서울특별시 도봉구 도봉2동
37,중랑역,서울특별시 중랑구 중화동 321-37,37.594948,127.076152,서울특별시 중랑구 중화2동
38,상봉역,서울시 중랑구 망우로 297(상봉1동 100-9번지),37.59566746,127.0856196,서울특별시 중랑구 상봉1동
39,망우역,서울시 중랑구 망우로 55길 11-10,37.599288,127.092318,서울특별시 중랑구 상봉1동
40,양원역,서울시 중랑구 송림길 147(망우동),36.963209,129.091131,서울특별시 중랑구 망우본동
41,서울숲역,서울시 성동구 왕십리로 지하 77,37.543647,127.044686,서울특별시 성동구 성수1가1동
42,압구정로데오역,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),37.527385,127.040555,서울특별시 강남구 청담동
43,강남구청역,서울시 강남구 학동로 364,37.51716021,127.0412189,서울특별시 강남구 삼성동
44,선정릉역,서울시 강남구 선릉로 지하 580(삼성동),37.51056428,127.043729,서울특별시 강남구 삼성2동
45,선릉역,서울시 강남구 테헤란로 지하 340,37.50442898,127.0488188,서울특별시 강남구 역삼1동
46,한티역,서울시 강남구 선릉로 지하 228,37.496208,127.052883,서울특별시 강남구 도곡2동
47,도곡역,서울시 강남구 남부순환로 지하 2814,37.49086962,127.0553707,서울특별시 강남구 도곡2동
48,구룡역,서울시 강남구 개포동 175번지,37.486985,127.059496,서울특별시 강남구 개포2동
49,개포동역,서울시 강남구 개포동 지하 420(개포동),37.489112,127.066027,서울특별시 강남구 개포2동
50,대모산입구역,서울특별시 강남구 개포로 522,37.491347,127.072702,서울특별시 강남구 개포2동
51,수서역,서울시 강남구 광평로 지하 270(수서동),37.48739779,127.1013355,서울특별시 강남구 수서동
52,신내역,서울시 중랑구 망우동 320,37.61274818,127.103336,서울특별시 중랑구 망우본동
53,구일역,서울시 구로구 구일로 133,37.496273,126.869599,서울특별시 구로구 구로2동
54,개봉역,서울시 구로구 경인로 40길 47,37.494698,126.858504,서울특별시 구로구 개봉1동
55,오류동역,서울시 구로구 경인로 20길 13,37.4944,126.844551,서울특별시 구로구 오류1동
56,온수역,서울시 구로구 부일로 872,37.49221312,126.8235519,서울특별시 구로구 수궁동
57,남영역,서울시 용산구 한강대로 77길 25(갈월동),37.540597,126.971171,서울특별시 용산구 남영동
58,용산역,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),37.52989,126.964775,서울특별시 용산구 한강로동
59,이촌역,서울시 용산구 이촌로 71길 42,37.52240847,126.9739771,서울특별시 용산구 한강로동
60,서빙고역,서울시 용산구 서빙고로 238(서빙고동 241-11),37.51961,126.988358,서울특별시 용산구 서빙고동
61,한남역,서울시 용산구 독서당로6길 12-13(한남동),37.529361,127.008984,서울특별시 용산구 한남동
62,노량진역,서울시 동작구 노량진로 151,37.514072,126.941671,서울특별시 동작구 노량진1동
63,대방역,서울시 영등포구 여의대방로 300,37.513392,126.926407,서울특별시 영등포구 신길7동
64,신길역,서울시 영등포구 영등포로 327,37.51722228,126.917143,서울특별시 영등포구 신길1동
65,영등포역,서울시 영등포구 경인로 846(영등포동 1가 618-496),37.515756,126.907411,서울특별시 영등포구 영등포본동
66,신도림역,서울시 구로구 새말로 117-21,37.50886647,126.8913821,서울특별시 구로구 신도림동
67,구로역,서울시 구로구 구로중앙로 174,37.503178,126.882037,서울특별시 구로구 구로5동
68,가산디지털단지역,서울시 금천구 벚꽃로 309,37.48139288,126.8826048,서울특별시 금천구 가산동
69,독산역,서울시 금천구 벚꽃로 115,37.465994,126.889508,서울특별시 금천구 독산1동
70,금천구청역,서울시 금천구 시흥대로 63길 91,37.45576,126.894344,서울특별시 금천구 시흥1동
71,옥수역,서울시 성동구 동호로 21(옥수동),37.54100085,127.0182294,서울특별시 성동구 옥수동
72,응봉역,서울시 성동구 고산자로 123(응봉동),37.550433,127.034824,서울특별시 성동구 응봉동
73,김포공항역,서울특별시 강서구 하늘길77,37.56229767,126.8017107,서울특별시 강서구 방화2동
74,동대문역,서울특별시 종로구 종로 지하 302 (창신동),37.57109132,127.0101189,서울특별시 종로구 창신2동
75,신설동역,서울특별시 동대문구 왕산로 지하 1 (신설동),37.57524178,127.0248844,서울특별시 동대문구 용신동
76,제기동역,서울특별시 동대문구 왕산로 지하 93 (제기동),37.57812027,127.0344966,서울특별시 동대문구 제기동
77,동묘앞역,서울특별시 종로구 종로 359 (숭인동),37.57239886,127.0157332,서울특별시 종로구 숭인1동
78,까치산역,서울특별시 강서구 강서로 지하54(화곡동),37.53168373,126.8467432,서울특별시 강서구 화곡8동
79,을지로입구역,서울특별시 중구 을지로 지하 42 (을지로1가),37.56597747,126.9825045,서울특별시 중구 명동
