역명,평균공실면적(m^2),공실 수,총 상가 수,공실 총 면적(m^2),공실율
가락시장역,42.48,2,,84.96,
강남구청역,73.3,1,,73.3,
강남역,19.95,2,,39.9,
강동구청역,36.96,1,,36.96,
건대입구역,25.43,4,,101.72,
공덕역,32.855,2,,65.71,
광화문역,104.1,1,,104.1,
교대역,15,1,,15,
구의역,23.1,1,,23.1,
군자역,37.96,2,,75.92,
굽은다리역,34.43,1,,34.43,
남구로역,69.14,1,,69.14,
남한산성입구역,54.76,1,,54.76,
논현역,33.6,1,,33.6,
단대오거리역,35.735,2,,71.47,
답십리역,28.86,1,,28.86,
당산역,25,1,,25,
대흥역,23,1,,23,
도곡역,23.18,1,,23.18,
독바위역,85,1,,85,
동대문역,23,1,,23,
동대문역사문화공원역,30.625,4,,122.5,
둔촌동역,49.53,1,,49.53,
뚝섬역,25.17,1,,25.17,
마들역,39.0625,4,,156.25,
망원역,45.17,1,,45.17,
매봉역,15.77,1,,15.77,
미아사거리역,12,2,,24,
발산역,30,1,,30,
방배역,19.375,2,,38.75,
버티고개역,26,1,,26,
보문역,43.35,1,,43.35,
불광역,25.68833333,6,,154.13,
사당역,24.05,4,,96.2,
삼각지역,46,1,,46,
상계역,34.36666667,3,,103.1,
상수역,33,2,,66,
상월곡역,95,1,,95,
서대문역,15.11666667,3,,45.35,
서초역,18.91,2,,37.82,
석계역,33,10,,330,
선릉역,22.67333333,6,,136.04,
송정역,70.51,1,,70.51,
수서역,20.55,2,,41.1,
신당역,34.1,1,,34.1,
신도림역,31.7,2,,63.4,
신사역,23.7,1,,23.7,
신용산역,15.5,1,,15.5,
신촌역,11.25,1,,11.25,
아현역,24.05,1,,24.05,
안국역,28.8,1,,28.8,
안암역,35.495,2,,70.99,
약수역,50.75,4,,203,
양재역,19.5,2,,39,
어린이대공원역,34.61,1,,34.61,
여의도역,30.19333333,3,,90.58,
역삼역,23.975,2,,47.95,
역촌역,48.66666667,3,,146,
연신내역,38.88,1,,38.88,
온수역,69.2,5,,346,
왕십리역,19,1,,19,
을지로입구역,19.47,1,,19.47,
이대역,21.734,5,,108.67,
이수역,24.45166667,6,,146.71,
일원역,61.48,1,,61.48,
잠실새내역,19.44,1,,19.44,
잠실역,28.6,1,,28.6,
장한평역,35.62,1,,35.62,
제기동역,19.3,1,,19.3,
종각역,27.838,5,,139.19,
종로3가역,87.895,4,,351.58,
종합운동장역,48.235,2,,96.47,
청구역,47.89,1,,47.89,
충무로역,18.86,1,,18.86,
충정로역,24.505,2,,49.01,
태릉입구역,22.97,1,,22.97,
학동역,68.55,1,,68.55,
한강진역,64,1,,64,
한양대역,20.04,1,,20.04,
합정역,30.74,1,,30.74,
행당역,39,1,,39,
홍제역,16.8,1,,16.8,
공항시장역,45.95,1,4,45.95,25.00%
신방화역,57.34,1,6,57.34,16.67%
샛강역,27.31,1,5,27.31,20.00%
노들역,56.76,1,1,56.76,100.00%
고속터미널역,34.57,1,10,34.57,10.00%
