동,1인세대,4인세대
가락1동,"1,681","2,481"
가락2동,"3,157","2,936"
가락본동,"4,770","1,762"
가리봉동,"4,139",250
가산동,"12,360",651
가양1동,"13,301","1,652"
가양2동,"4,336",497
가양3동,"3,531",577
가회동,939,220
갈현1동,"4,889","1,256"
갈현2동,"4,682","1,833"
강일동,"3,988","3,183"
개봉1동,"5,319","2,207"
개봉2동,"3,365","2,213"
개봉3동,"2,812","1,321"
개포1동,764,518
개포2동,"1,559","2,016"
개포4동,"3,428","1,814"
거여1동,"2,094",851
거여2동,"2,741","1,274"
고덕1동,"1,591","2,594"
고덕2동,"2,316","1,878"
고척1동,"3,141","1,747"
고척2동,"3,990","1,927"
공덕동,"8,761","2,183"
공릉1동,"8,658","2,300"
공릉2동,"5,896","3,210"
공항동,"5,944","2,015"
광장동,"2,277","3,770"
광희동,"2,247",163
교남동,"1,617",685
구로1동,"2,361","1,754"
구로2동,"6,452","1,084"
구로3동,"7,894","1,138"
구로4동,"5,454",918
구로5동,"7,638","1,625"
구산동,"4,442","2,115"
구의1동,"6,951",998
구의2동,"4,245","1,863"
구의3동,"4,159","2,264"
군자동,"6,704",911
금호1가동,"2,172","1,042"
금호2.3가동,"3,577","1,456"
금호4가동,"2,261",907
길동,"9,463","2,762"
길음1동,"2,481","3,593"
길음2동,"2,285","1,285"
낙성대동,"7,951",589
난곡동,"5,700","1,513"
난향동,"1,911","1,152"
남가좌1동,"1,292","1,367"
남가좌2동,"5,136","2,066"
남영동,"4,016",224
남현동,"5,129",921
내곡동,"2,230","1,205"
노량진1동,"7,736","1,842"
노량진2동,"4,870",451
녹번동,"7,314","2,118"
논현1동,"9,625",728
논현2동,"6,418","1,123"
능동,"3,717",496
다산동,"3,206",766
답십리1동,"5,258","1,917"
답십리2동,"4,614","1,865"
당산1동,"5,652","1,028"
당산2동,"9,243","2,369"
대림1동,"3,221",869
대림2동,"3,970",454
대림3동,"4,180","1,360"
대방동,"7,232","2,870"
대조동,"7,670","1,311"
대치1동,569,"2,984"
대치2동,"2,637","3,795"
대치4동,"5,511","1,263"
대학동,"12,225",748
대흥동,"5,328",669
도곡1동,"2,715","1,912"
도곡2동,"2,188","3,266"
도림동,"4,710",907
도봉1동,"4,432","1,058"
도봉2동,"4,161","1,678"
도화동,"3,518","1,453"
독산1동,"11,252","2,494"
독산2동,"4,419",995
독산3동,"6,216","1,238"
독산4동,"3,615",801
돈암1동,"1,822","1,050"
돈암2동,"1,753","2,144"
동선동,"6,177",622
동화동,"1,146",760
둔촌1동,58,7
둔촌2동,"3,583","1,929"
등촌1동,"7,744","1,227"
등촌2동,"2,923","1,404"
등촌3동,"6,487","1,808"
마장동,"5,100","1,357"
마천1동,"3,638","1,141"
마천2동,"3,511","1,127"
망우3동,"3,813",884
망우본동,"7,183","1,636"
망원1동,"5,062","1,103"
망원2동,"3,344","1,264"
면목2동,"5,793","1,345"
면목3.8동,"5,970","1,346"
면목4동,"3,881","1,077"
면목5동,"2,205",982
면목7동,"4,659","1,261"
면목본동,"8,901","1,695"
명동,"1,047",72
명일1동,"2,541","2,107"
명일2동,"1,460","1,744"
목1동,"1,685","3,260"
목2동,"5,052","2,098"
목3동,"3,917","1,403"
목4동,"3,212","2,250"
목5동,"1,770","4,682"
무악동,679,707
묵1동,"5,183","2,488"
묵2동,"4,137","1,036"
문래동,"3,903","2,603"
문정1동,"2,887","1,549"
문정2동,"8,923","1,628"
미성동,"5,940","1,912"
미아동,"6,314","1,029"
반포1동,"6,361","2,670"
반포2동,634,"1,675"
반포3동,"1,358","2,144"
반포4동,"1,805","1,517"
반포본동,669,"1,031"
발산1동,"2,931","3,304"
방배1동,"2,909","1,156"
방배2동,"3,042","1,368"
방배3동,"2,058","1,523"
방배4동,"3,420","1,878"
방배본동,"2,241","1,797"
방이1동,"1,940","1,337"
방이2동,"8,923","1,186"
방학1동,"4,827","1,850"
방학2동,"3,896","1,074"
방학3동,"1,930","2,297"
방화1동,"5,143","3,457"
방화2동,"5,820","1,172"
방화3동,"4,956","1,236"
번1동,"5,704",849
번2동,"3,036",836
번3동,"2,481","1,056"
보광동,"4,080",606
보라매동,"6,605","1,269"
보문동,"3,775",895
부암동,"1,690",615
북가좌1동,"1,636","1,503"
북가좌2동,"5,797","1,994"
북아현동,"2,817","1,100"
불광1동,"6,792","2,380"
불광2동,"6,554","1,390"
사근동,"5,785",449
사당1동,"7,998",956
사당2동,"4,180","1,672"
사당3동,"3,632","1,760"
사당4동,"3,394",806
사당5동,"2,583",936
사직동,"2,336",515
삼각산동,"2,527","2,895"
삼선동,"5,783","1,418"
삼성1동,"2,062",934
삼성2동,"5,682","2,291"
삼성동,"4,601","1,317"
삼양동,"4,658","1,403"
삼전동,"8,493","1,590"
삼청동,636,129
상계10동,"2,067","1,455"
상계1동,"4,652","2,900"
상계2동,"3,310","1,582"
상계3.4동,"4,703","1,635"
상계5동,"4,118","1,522"
상계6.7동,"4,485","2,531"
상계8동,"2,518","1,738"
상계9동,"2,281","1,568"
상도1동,"10,031","2,879"
상도2동,"5,152","2,117"
상도3동,"5,493","1,432"
상도4동,"6,326","1,673"
상봉1동,"3,342","1,835"
상봉2동,"7,392",730
상암동,"4,395","2,474"
상일동,"2,219","3,833"
서강동,"5,738","1,598"
서교동,"10,060",995
서림동,"9,620",919
서빙고동,"1,790","1,028"
서원동,"9,242",773
서초1동,"3,997","1,387"
서초2동,"4,174","1,651"
서초3동,"6,800","2,141"
서초4동,"2,354","3,224"
석관동,"7,184","2,014"
석촌동,"8,932","1,637"
