행정동,1-4 사업체수,1-4 종사자수,5-9 사업체수,5-9 종사자수,"9인 이하
사업체수","9인 이하
종사자수","평균 종사자수
(총 종사자수/총 사업체수)"
가락1동,"2,451","5,785",448,"2,696","2,899","8,481",3.812
가락2동,"1,483","2,655",243,"1,528","1,726","4,183",5.136
가락본동,"2,613","5,191",496,"3,127","3,109","8,318",7.291
가리봉동,917,"1,531",44,275,961,"1,806",3.201
가산동,"9,907","20,617","3,458","22,515","13,365","43,132",10.257
가양1동,"3,984","8,329","1,136","7,095","5,120","15,424",9.733
가양2동,491,894,79,509,570,"1,403",5.344
가양3동,570,947,167,"1,107",737,"2,054",8.157
가회동,579,"1,096",112,703,691,"1,799",16.754
갈현1동,"1,276","2,288",150,925,"1,426","3,213",3.258
갈현2동,"1,352","2,312",151,913,"1,503","3,225",3.79
강일동,731,"1,152",122,783,853,"1,935",18.281
개봉1동,"1,462","2,368",156,"1,004","1,618","3,372",3.23
개봉2동,"1,046","1,666",122,768,"1,168","2,434",2.773
개봉3동,904,"1,360",73,474,977,"1,834",7.246
개포1동,150,221,11,68,161,289,5.178
개포2동,622,"1,116",62,363,684,"1,479",4.147
개포4동,"1,370","2,742",324,"2,091","1,694","4,833",5.586
거여1동,692,"1,163",83,524,775,"1,687",4.418
거여2동,683,"1,083",89,563,772,"1,646",5.422
고덕1동,633,"1,012",62,393,695,"1,405",3.648
고덕2동,580,984,61,354,641,"1,338",3.764
고척1동,"2,136","3,705",262,"1,607","2,398","5,312",3.981
고척2동,"1,277","2,010",121,735,"1,398","2,745",2.861
공덕동,"2,172","4,155",397,"2,393","2,569","6,548",6.603
공릉1동,"2,301","3,827",349,"2,177","2,650","6,004",4.206
공릉2동,"1,648","2,668",200,"1,254","1,848","3,922",5.948
공항동,"1,561","2,702",268,"1,674","1,829","4,376",17.72
광장동,983,"1,882",243,"1,557","1,226","3,439",11.526
광희동,"7,422","16,083",716,"4,305","8,138","20,388",4.303
교남동,329,630,52,345,381,975,11.092
구로1동,590,983,98,628,688,"1,611",4.949
구로2동,"6,467","12,308",896,"5,441","7,363","17,749",3.676
구로3동,"4,656","8,758","1,491","9,700","6,147","18,458",11.719
구로4동,"1,883","3,223",177,"1,113","2,060","4,336",2.834
구로5동,"3,785","6,116",397,"2,513","4,182","8,629",5.926
구산동,"1,056","1,518",83,517,"1,139","2,035",4.53
구의1동,"1,451","2,697",219,"1,351","1,670","4,048",3.971
구의2동,"1,080","1,741",143,904,"1,223","2,645",4.516
구의3동,"2,098","3,909",371,"2,328","2,469","6,237",6.139
군자동,"1,261","2,345",219,"1,346","1,480","3,691",6.291
금호1가동,450,776,75,472,525,"1,248",3.704
금호2.3가동,894,"1,423",78,470,972,"1,893",2.636
금호4가동,559,989,68,422,627,"1,411",3.084
길동,"4,304","6,713",459,"2,835","4,763","9,548",4.216
길음1동,834,"1,474",109,686,943,"2,160",3.89
길음2동,812,"1,455",119,751,931,"2,206",4.84
낙성대동,938,"1,936",235,"1,435","1,173","3,371",6.07
난곡동,856,"1,348",70,431,926,"1,779",2.57
난향동,335,539,35,217,370,756,4.751
남가좌1동,594,"1,059",65,397,659,"1,456",3.19
남가좌2동,"1,127","1,890",127,798,"1,254","2,688",4.024
남영동,"1,160","2,556",247,"1,518","1,407","4,074",12.552
남현동,644,"1,218",157,936,801,"2,154",5.685
내곡동,643,"1,235",90,553,733,"1,788",10.583
노량진1동,"1,475","2,815",261,"1,607","1,736","4,422",4.426
노량진2동,"1,504","2,820",123,750,"1,627","3,570",4.56
녹번동,"1,603","2,659",223,"1,381","1,826","4,040",4.858
논현1동,"3,595","7,391",925,"5,835","4,520","13,226",7.879
논현2동,"3,390","7,474","1,218","7,592","4,608","15,066",11.127
능동,572,"1,071",133,851,705,"1,922",7.136
다산동,"1,056","2,184",237,"1,454","1,293","3,638",6.841
답십리1동,"1,665","2,896",201,"1,252","1,866","4,148",4.08
답십리2동,"1,843","3,187",226,"1,423","2,069","4,610",3.449
당산1동,"2,519","4,620",371,"2,303","2,890","6,923",6.191
당산2동,"1,601","3,127",370,"2,318","1,971","5,445",10.025
대림1동,938,"1,577",89,580,"1,027","2,157",4.245
대림2동,"1,251","2,250",93,553,"1,344","2,803",3.28
대림3동,"1,875","3,247",243,"1,495","2,118","4,742",4.506
대방동,"1,286","2,280",236,"1,489","1,522","3,769",6.905
대조동,"2,110","3,717",208,"1,287","2,318","5,004",3.236
대치1동,739,"1,505",175,"1,097",914,"2,602",6.04
대치2동,"2,650","5,102",550,"3,488","3,200","8,590",16.55
대치4동,"2,542","5,326",688,"4,338","3,230","9,664",8.681
대학동,"1,310","2,487",195,"1,161","1,505","3,648",9.179
대흥동,"1,195","2,261",215,"1,334","1,410","3,595",6.427
도곡1동,"1,134","2,152",223,"1,395","1,357","3,547",10.693
도곡2동,"1,201","2,428",322,"2,031","1,523","4,459",10.883
도림동,882,"1,401",95,585,977,"1,986",2.914
도봉1동,"1,431","2,424",124,785,"1,555","3,209",3.546
도봉2동,"1,209","1,947",141,855,"1,350","2,802",4.431
도화동,"1,528","3,006",311,"1,937","1,839","4,943",8.057
독산1동,"2,834","5,277",718,"4,724","3,552","10,001",6.252
독산2동,997,"1,636",110,701,"1,107","2,337",3.045
독산3동,"1,810","3,054",195,"1,223","2,005","4,277",3.115
독산4동,865,"1,544",84,508,949,"2,052",3.149
돈암1동,301,478,47,315,348,793,5.482
돈암2동,351,500,38,234,389,734,5.884
동선동,"1,616","3,051",283,"1,696","1,899","4,747",4.89
동화동,776,"1,591",166,"1,026",942,"2,617",4.025
둔촌1동,10,20,2,14,12,34,16.647
둔촌2동,"1,246","2,122",206,"1,275","1,452","3,397",6.093
등촌1동,"1,313","2,455",292,"1,821","1,605","4,276",8.699
등촌2동,622,"1,036",60,378,682,"1,414",4.805
등촌3동,"1,846","3,452",372,"2,353","2,218","5,805",7.6
마장동,"2,583","4,787",475,"2,878","3,058","7,665",3.759
마천1동,899,"1,308",63,382,962,"1,690",2.426
마천2동,"1,184","1,822",102,647,"1,286","2,469",3.138
망우3동,942,"1,583",139,847,"1,081","2,430",3.309
망우본동,"3,353","4,972",313,"1,997","3,666","6,969",3.136
망원1동,"1,639","2,651",189,"1,153","1,828","3,804",2.787
망원2동,"1,158","1,954",128,791,"1,286","2,745",3.342
면목2동,"1,743","2,997",216,"1,352","1,959","4,349",3.058
면목3.8동,"1,806","3,112",230,"1,453","2,036","4,565",3.613
면목4동,"1,006","1,622",112,693,"1,118","2,315",3.276
면목5동,700,"1,248",81,502,781,"1,750",3.675
면목7동,"1,264","2,134",157,"1,007","1,421","3,141",2.935
면목본동,"2,218","3,928",253,"1,535","2,471","5,463",2.986
명동,"4,568","10,184","1,238","7,706","5,806","17,890",15.849
명일1동,"1,471","2,599",173,"1,047","1,644","3,646",3.82
명일2동,760,"1,524",163,"1,006",923,"2,530",3.996
목1동,"1,955","4,220",499,"3,162","2,454","7,382",7.544
목2동,996,"1,765",129,804,"1,125","2,569",3.782
목3동,"1,081","1,963",134,848,"1,215","2,811",3.697
목4동,"1,187","2,101",107,654,"1,294","2,755",2.929
목5동,"1,224","2,217",198,"1,246","1,422","3,463",6.837
무악동,606,759,25,160,631,919,2.541
묵1동,"1,288","2,145",168,"1,050","1,456","3,195",3.689
묵2동,"1,609","2,477",129,843,"1,738","3,320",2.589
문래동,"3,871","7,307",880,"5,568","4,751","12,875",8.415
문정1동,"1,015","1,793",174,"1,110","1,189","2,903",4.783
문정2동,"5,038","9,535","1,148","7,266","6,186","16,801",8.393
미성동,"1,233","2,050",168,"1,075","1,401","3,125",3.706
미아동,"1,459","2,448",182,"1,155","1,641","3,603",3.922
반포1동,"1,410","2,702",193,"1,203","1,603","3,905",5.904
반포2동,222,445,45,294,267,739,7
반포3동,729,"1,397",131,819,860,"2,216",7.782
반포4동,"2,383","4,979",501,"3,157","2,884","8,136",9.078
반포본동,589,936,45,289,634,"1,225",3.498
발산1동,"2,586","4,919",463,"2,990","3,049","7,909",5.886
방배1동,"1,360","2,478",317,"2,028","1,677","4,506",8.564
방배2동,"1,371","2,457",266,"1,683","1,637","4,140",9.614
방배3동,806,"1,538",176,"1,072",982,"2,610",11.658
방배4동,"1,586","2,904",319,"2,003","1,905","4,907",6.81
방배본동,"1,271","2,376",204,"1,237","1,475","3,613",6.468
방이1동,976,"1,830",200,"1,250","1,176","3,080",6.419
방이2동,"2,329","4,588",484,"3,035","2,813","7,623",6.339
방학1동,"1,950","3,448",253,"1,606","2,203","5,054",5.81
방학2동,"1,116","1,818",73,442,"1,189","2,260",2.386
방학3동,758,"1,138",90,543,848,"1,681",3.529
방화1동,"2,141","3,682",316,"1,981","2,457","5,663",4.198
방화2동,"2,889","4,159",201,"1,275","3,090","5,434",4.275
방화3동,713,"1,112",118,767,831,"1,879",5.261
번1동,"1,497","2,658",235,"1,497","1,732","4,155",5.083
번2동,539,809,47,289,586,"1,098",5.714
번3동,741,"1,052",80,520,821,"1,572",3.621
보광동,768,"1,169",51,298,819,"1,467",2.471
보라매동,"1,166","1,965",124,765,"1,290","2,730",4.797
보문동,"1,100","1,913",123,773,"1,223","2,686",4.22
