역사명,역위도,역경도,행정동,공실여부,공실_총_면적,1인가구,4인가구,1-4_사업체수,5-9_사업체수,9인이하_사업체수,거주인구수
동대문역사문화공원역,37.56505303,127.0072433,광희동,1,122.5,2247,163,7422,716,8138,5210
신당역,37.56582912,127.0181023,황학동,1,34.1,3815,549,1770,115,1885,12523
상왕십리역,37.56417104,127.0293524,왕십리2동,0,0,2892,1093,670,113,783,16627
왕십리역,37.56145944,127.0366401,행당1동,1,19,2672,909,1067,187,1254,13935
한양대역,37.55522179,127.0434917,사근동,1,20.04,5785,449,814,186,1000,11950
뚝섬역,37.54712239,127.0473648,성수1가2동,1,25.17,2878,755,1877,536,2413,12859
성수역,37.5444338,127.0559893,성수2가3동,0,0,2982,604,3722,1073,4795,11033
건대입구역,37.54060889,127.0699628,자양4동,1,101.72,5097,824,1538,196,1734,17458
구의역,37.53691864,127.0857297,자양2동,1,23.1,4108,1738,1200,143,1343,25024
강변역,37.53487706,127.0946944,구의3동,0,0,4159,2264,2098,371,2469,28891
잠실나루역,37.52054808,127.1036977,잠실6동,0,0,979,1471,1816,377,2193,16867
잠실역,37.51381708,127.1023424,잠실6동,1,28.6,979,1471,1816,377,2193,16867
서울역,37.55467715,126.9719143,회현동,0,0,1725,228,7603,560,8163,4854
시청역,37.56466758,126.9764189,소공동,0,0,753,75,2355,805,3160,2195
종각역,37.57020349,126.9829483,종로1.2.3.4가동,1,139.19,4206,194,12653,1720,14373,7204
종로3가역,37.57139366,126.9913448,종로1.2.3.4가동,1,351.58,4206,194,12653,1720,14373,7204
종로5가역,37.57100685,127.001799,종로5·6가동,0,0,2402,172,6460,552,7012,5121
신촌역,37.557555,126.9395953,신촌동,1,11.25,10585,547,2903,631,3534,19496
가좌역,37.568611,126.914841,남가좌1동,0,0,1292,1367,594,65,659,15586
효창공원앞역,37.5394155,126.961355,용문동,0,0,2020,752,550,58,608,12009
공덕역,37.54342785,126.9517967,공덕동,1,65.71,8761,2183,2172,397,2569,37274
서강대역,37.552132,126.935389,대흥동,0,0,5328,669,1195,215,1410,14365
홍대입구역,37.55754762,126.925258,서교동,0,0,10060,995,6859,1679,8538,25051
